name,path,size,file_or_dir
.git,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic,95496,directory
.idea,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic,14029,directory
Home_work_seminar1,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic,2084,directory
Home_work_seminar2,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic,1256,directory
Home_work_seminar3,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic,3654,directory
Home_work_seminar4,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic,1871,directory
Home_work_seminar5,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic,1719,directory
Home_work_seminar6,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic,2747,directory
home_work_seminar7,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic,17321,directory
home_work_seminar8,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic,18557,directory
Seminar_3,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic,3592,directory
Seminar_4,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic,3639,directory
Seminar_5,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic,4477,directory
Seminar_6,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic,7921,directory
seminar_8,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic,2997,directory
.gitignore,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic,1928,file
hooks,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git,23513,directory
info,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git,240,directory
logs,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git,9801,directory
objects,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git,42092,directory
refs,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git,112,directory
.COMMIT_EDITMSG.swp,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git,12288,file
COMMIT_EDITMSG,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git,20,file
config,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git,304,file
description,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git,73,file
HEAD,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git,21,file
index,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git,6920,file
packed-refs,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git,112,file
applypatch-msg.sample,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\hooks,478,file
commit-msg.sample,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\hooks,896,file
fsmonitor-watchman.sample,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\hooks,4726,file
post-update.sample,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\hooks,189,file
pre-applypatch.sample,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\hooks,424,file
